ID	population	condition	GC_pct	Five_Prime_Bias	library_batch	experiment_date	age	Pct_European_Ancestry
EIP@JAECQJYIHD-4	AFB	R848	47.43	-0.132093326316975	1/13/14 17:48	10/22/13	37	1e-05
EIP@JAECQJYIHD-5	AFB	IAV	48.83	-0.115707271299228	1/9/14 16:03	10/22/13	37	1e-05
EIP@YLIXROZXBT-1	AFB	NS	49.28	-0.119262827254261	3/19/14 18:00	2/4/14	34	1e-05
EIP@YLIXROZXBT-2	AFB	LPS	46.78	-0.187909452631836	4/7/14 17:43	2/4/14	34	1e-05
EIP@YLIXROZXBT-3	AFB	PAM3CSK4	47.22	-0.141289147925716	4/7/14 17:45	2/4/14	34	1e-05
EIP@YLIXROZXBT-4	AFB	R848	47	-0.127071850813264	4/3/14 14:22	2/4/14	34	1e-05
EIP@YLIXROZXBT-5	AFB	IAV	49.37	-0.0990859402845294	4/10/14 16:00	2/4/14	34	1e-05
EIP@YCBSQOLROQ-1	AFB	NS	50.31	-0.122562005041505	3/7/14 13:26	12/19/13	34	1e-05
EIP@YCBSQOLROQ-2	AFB	LPS	47.74	-0.15585420791655	3/11/14 15:48	12/19/13	34	1e-05
EIP@YCBSQOLROQ-3	AFB	PAM3CSK4	48.86	-0.15397932906224	3/6/14 18:41	12/19/13	34	1e-05
EIP@YCBSQOLROQ-4	AFB	R848	48.56	-0.118689019499392	3/11/14 15:48	12/19/13	34	1e-05
EIP@YCBSQOLROQ-5	AFB	IAV	52.94	-0.0062123253110612	3/21/14 14:13	12/19/13	34	1e-05
EIP@RTZAQUWLSW-1	AFB	NS	50.23	-0.126164777025053	3/7/14 13:26	12/17/13	28	1e-05
EIP@RTZAQUWLSW-2	AFB	LPS	48.18	-0.157001978751234	3/11/14 15:48	12/17/13	28	1e-05
EIP@RTZAQUWLSW-3	AFB	PAM3CSK4	48.56	-0.151858755597841	3/6/14 18:41	12/17/13	28	1e-05
EIP@RTZAQUWLSW-4	AFB	R848	46.92	-0.142009054520599	3/11/14 15:48	12/17/13	28	1e-05
EIP@RTZAQUWLSW-5	AFB	IAV	47.68	-0.129743741071083	3/11/14 15:48	12/17/13	28	1e-05
EIP@FXUTFBSUZS-1	AFB	NS	49.58	-0.139401305629021	3/7/14 9:07	12/19/13	38	1e-05
EIP@FXUTFBSUZS-2	AFB	LPS	47.54	-0.152511234502514	3/11/14 15:48	12/19/13	38	1e-05
EIP@FXUTFBSUZS-3	AFB	PAM3CSK4	48.85	-0.105495443929854	3/6/14 18:41	12/19/13	38	1e-05
EIP@FXUTFBSUZS-4	AFB	R848	47.4	-0.142483150607362	3/11/14 15:48	12/19/13	38	1e-05
EIP@FXUTFBSUZS-5	AFB	IAV	48.39	-0.100567202989195	3/11/14 15:48	12/19/13	38	1e-05
EIP@EJDWQZKQOX-1	AFB	NS	50.28	-0.114647328386533	1/9/14 16:03	10/17/13	31	0.014138
EIP@EJDWQZKQOX-2	AFB	LPS	46.78	-0.160502608221558	1/13/14 17:48	10/17/13	31	0.014138
EIP@EJDWQZKQOX-3	AFB	PAM3CSK4	48.35	-0.197408833534427	1/9/14 16:03	10/17/13	31	0.014138
EIP@EJDWQZKQOX-4	AFB	R848	46.93	-0.14183864906423	1/13/14 17:48	10/17/13	31	0.014138
EIP@EJDWQZKQOX-5	AFB	IAV	47.52	-0.137768053759031	1/13/14 17:48	10/17/13	31	0.014138
EIP@WXBMRPFEEI-1	AFB	NS	48.47	-0.142445456609302	3/19/14 18:00	10/17/13	28	1e-05
EIP@WXBMRPFEEI-2	AFB	LPS	47.67	-0.141338054834476	4/7/14 17:45	10/17/13	28	1e-05
EIP@WXBMRPFEEI-4	AFB	R848	47.81	-0.127687696654059	4/7/14 17:45	10/17/13	28	1e-05
EIP@WXBMRPFEEI-5	AFB	IAV	47.12	-0.136237840604122	4/7/14 17:45	10/17/13	28	1e-05
EIP@RLZRMKLYIA-1	AFB	NS	48.03	-0.137208548292988	4/3/14 14:22	2/4/14	37	1e-05
EIP@RLZRMKLYIA-2	AFB	LPS	48.23	-0.120598184306901	4/7/14 17:45	2/4/14	37	1e-05
EIP@RLZRMKLYIA-3	AFB	PAM3CSK4	48.06	-0.12551695731334	4/14/14 17:43	2/4/14	37	1e-05
EIP@RLZRMKLYIA-4	AFB	R848	46.49	-0.152974948480165	4/3/14 14:22	2/4/14	37	1e-05
EIP@RLZRMKLYIA-5	AFB	IAV	47.66	-0.113059354953256	3/19/14 18:00	2/4/14	37	1e-05
EIP@QJZBFLRZKT-1	AFB	NS	49.49	-0.14483830999515	1/9/14 16:03	8/6/13	37	1e-05
EIP@QJZBFLRZKT-2	AFB	LPS	49.33	-0.119231910438361	1/9/14 16:03	8/6/13	37	1e-05
EIP@QJZBFLRZKT-3	AFB	PAM3CSK4	50.02	-0.0858325810739217	1/9/14 16:03	8/6/13	37	1e-05
EIP@QJZBFLRZKT-4	AFB	R848	47.25	-0.161946179906588	1/22/14 17:19	8/6/13	37	1e-05
EIP@QJZBFLRZKT-5	AFB	IAV	47.58	-0.128132253085547	1/13/14 17:48	8/6/13	37	1e-05
EIP@NSJCCOSXDI-1	AFB	NS	48.57	-0.14516645939518	4/3/14 14:22	10/31/13	31	1e-05
EIP@NSJCCOSXDI-2	AFB	LPS	47.97	-0.152503688216124	4/7/14 17:45	10/31/13	31	1e-05
EIP@NSJCCOSXDI-4	AFB	R848	48.56	-0.118639639415425	4/14/14 17:43	10/31/13	31	1e-05
EIP@NSJCCOSXDI-5	AFB	IAV	48.49	-0.112145754669036	3/19/14 18:00	10/31/13	31	1e-05
EIP@QPKUDTHFQQ-1	AFB	NS	48.15	-0.140966763223912	4/3/14 14:22	8/6/13	30	1e-05
EIP@QPKUDTHFQQ-2	AFB	LPS	47.56	-0.136171087627174	4/7/14 17:45	8/6/13	30	1e-05
EIP@QPKUDTHFQQ-3	AFB	PAM3CSK4	47.25	-0.155743148442275	4/3/14 14:22	8/6/13	30	1e-05
EIP@QPKUDTHFQQ-5	AFB	IAV	48.12	-0.109190103470929	3/19/14 18:00	8/6/13	30	1e-05
EIP@QMCTYRIQBJ-1	AFB	NS	48.77	-0.214439742650572	1/22/14 17:19	8/8/13	36	0.014824
EIP@QMCTYRIQBJ-2	AFB	LPS	48.72	-0.129529224898122	1/9/14 16:03	8/8/13	36	0.014824
EIP@QMCTYRIQBJ-3	AFB	PAM3CSK4	49.22	-0.117928197171099	1/9/14 16:03	8/8/13	36	0.014824
EIP@QMCTYRIQBJ-4	AFB	R848	48.05	-0.140019604717909	1/13/14 17:48	8/8/13	36	0.014824
EIP@QMCTYRIQBJ-5	AFB	IAV	47.24	-0.13562839519151	1/13/14 17:48	8/8/13	36	0.014824
EIP@MKCDZRXHAO-1	AFB	NS	49.16	-0.182047265630626	1/22/14 17:19	8/8/13	26	1e-05
