condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
LPS	(1.00882e+08,1.00884e+08]	0.46	0.00399661107923081	1.35529419079104e-05	0.0022641627047745	1.1698490939454	291.540417367745	0.404852152652313	0.674679472138047
LPS	(1.00884e+08,1.00886e+08]	0.92	0.00374642417022849	1.06898886692129e-05	0.00724340004203118	1.30432242785246	346.846972937326	0.86965586127009	0.989846465161108
LPS	(1.00886e+08,1.00888e+08]	0.33	0.00351029074643644	1.17340060287341e-05	0.00181860422060641	1.0429257513421	296.06230759745	0.395889261698096	0.674679472138047
LPS	(1.00888e+08,1.0089e+08]	0.32	0.00330361943336872	9.01494638002447e-06	0.00157241968787242	1.20334204714612	363.046254922643	0.342499236164089	0.65185338495746
LPS	(1.0089e+08,1.00892e+08]	0.4	0.00322912295438936	6.37204203058729e-06	0.0021940493203789	1.62789072537794	502.499932331078	0.423104075747589	0.674679472138047
LPS	(1.00892e+08,1.00894e+08]	0.67	0.00458781226091296	1.37112444121447e-05	0.00588215378669445	1.52346145454726	330.543625842546	0.721201412161599	0.905337942926262
LPS	(1.00894e+08,1.00896e+08]	0.95	0.00340427409005853	1.43446104269803e-05	0.0102589054188043	0.801750367591052	234.711121504976	0.939515288966476	0.989846465161108
LPS	(1.00896e+08,1.00898e+08]	0.46	0.00475922385578293	1.70616734306114e-05	0.00330117017625652	1.31647191875315	275.298362484026	0.461333621282385	0.70939823577173
LPS	(1.00898e+08,1.009e+08]	0.17	0.00285508393013575	1.52824167086355e-05	0.000531913725411002	0.529013086811551	184.759090435385	0.319168274583505	0.627697606680892
LPS	(1.009e+08,1.00902e+08]	0.2	0.00274849432603293	7.1489180426701e-06	0.000564467392436075	1.05104150320202	381.355243002049	0.174682779850006	0.448099304832624
LPS	(1.00902e+08,1.00904e+08]	0.97	0.00363035932351742	1.22912879395773e-05	0.011510221212965	1.06474120024676	292.223362087321	0.961420903664297	0.992919584879141
